Gene	Comparison	Set	Type	Count
Copg	het_vs_wt	not_used	filtered	0
Copg	het_vs_wt	ko_response	filtered	1
Coq4	het_vs_wt	ko_response	unfiltered	1
Coq4	het_vs_wt	mrna_abnormal	filtered	0
Coq4	het_vs_wt	mrna_as_wt	filtered	0
Coq4	het_vs_wt	not_used	filtered	0
Coq4	het_vs_wt	ko_response	filtered	1
Crls	het_vs_wt	ko_response	unfiltered	0
Crls	het_vs_wt	ko_response	filtered	NA
Cyp11a1	het_vs_wt	ko_response	unfiltered	0
Cyp11a1	het_vs_wt	ko_response	filtered	NA
Dctn1	het_vs_wt	ko_response	unfiltered	0
Dctn1	het_vs_wt	ko_response	filtered	NA
Dctn4	het_vs_wt	ko_response	unfiltered	0
Dctn4	het_vs_wt	ko_response	filtered	NA
Dennd4c	het_vs_wt	ko_response	unfiltered	0
Dennd4c	het_vs_wt	mrna_abnormal	filtered	0
Dennd4c	het_vs_wt	mrna_as_wt	filtered	0
Dennd4c	het_vs_wt	not_used	filtered	0
Dennd4c	het_vs_wt	ko_response	filtered	0
Dhodh	het_vs_wt	ko_response	unfiltered	1
Dhodh	het_vs_wt	ko_response	filtered	NA
Dhx35	het_vs_wt	ko_response	unfiltered	3
Dhx35	het_vs_wt	mrna_abnormal	filtered	0
Dhx35	het_vs_wt	mrna_as_wt	filtered	0
Dhx35	het_vs_wt	not_used	filtered	5
Dhx35	het_vs_wt	ko_response	filtered	13
Dpm1	het_vs_wt	ko_response	unfiltered	0
Dpm1	het_vs_wt	ko_response	filtered	NA
Edc4	het_vs_wt	ko_response	unfiltered	1
Edc4	het_vs_wt	mrna_abnormal	filtered	0
Edc4	het_vs_wt	mrna_as_wt	filtered	0
Edc4	het_vs_wt	not_used	filtered	4
Edc4	het_vs_wt	ko_response	filtered	12
Ehmt1	het_vs_wt	ko_response	unfiltered	2
Ehmt1	het_vs_wt	mrna_abnormal	filtered	0
Ehmt1	het_vs_wt	mrna_as_wt	filtered	0
Ehmt1	het_vs_wt	not_used	filtered	2
Ehmt1	het_vs_wt	ko_response	filtered	13
Elac2	het_vs_wt	ko_response	unfiltered	1
Elac2	het_vs_wt	ko_response	filtered	NA
Fam160a	het_vs_wt	ko_response	unfiltered	3
Fam160a	het_vs_wt	mrna_abnormal	filtered	0
Fam160a	het_vs_wt	mrna_as_wt	filtered	0
Fam160a	het_vs_wt	not_used	filtered	8
Fam160a	het_vs_wt	ko_response	filtered	0
Fcho2	het_vs_wt	ko_response	unfiltered	0
Fcho2	het_vs_wt	mrna_abnormal	filtered	0
Fcho2	het_vs_wt	mrna_as_wt	filtered	0
Fcho2	het_vs_wt	not_used	filtered	5
Fcho2	het_vs_wt	ko_response	filtered	0
Fryl	het_vs_wt	ko_response	unfiltered	717
Fryl	het_vs_wt	mrna_abnormal	filtered	196
Fryl	het_vs_wt	mrna_as_wt	filtered	0
Fryl	het_vs_wt	not_used	filtered	536
Fryl	het_vs_wt	ko_response	filtered	0
Gfm1	het_vs_wt	ko_response	unfiltered	6
Gfm1	het_vs_wt	ko_response	filtered	NA
Gpr107	het_vs_wt	ko_response	unfiltered	2
Gpr107	het_vs_wt	mrna_abnormal	filtered	0
Gpr107	het_vs_wt	mrna_as_wt	filtered	0
